date,places ,value
01-01-2020,Amnat Charoen ,8260
01-01-2020,Nong Bua Lamphu ,12416
01-01-2021,Bangkok,354676
01-01-2021,Lopburi ,19467
01-01-2021,Phra Nakhon Si Ayutthaya ,30074
01-01-2021,Saraburi ,29441
01-01-2021,Chainat ,6508
01-01-2021,Nakhon Pathom ,27769
01-01-2021,Sing Buri ,2765
01-01-2021,Ang Thong ,1516
01-01-2021,Nonthaburi ,8450
01-01-2021,Pathum Thani ,8146
01-01-2021,Samut Prakan ,9972
01-01-2021,Samut Sakhon ,0
01-01-2021,Chachoengsao ,3743
01-01-2021,Ratchaburi ,29734
01-01-2021,Kanchanaburi ,52133
01-01-2021,Samut Songkhram ,4607
01-01-2021,Suphan Buri ,12983
01-01-2021,Phetchaburi ,99682
01-01-2021,Prachuap Khiri Khan ,76887
01-01-2021,Chonburi ,14560
01-01-2021,Chanthaburi ,0
01-01-2021,Trat ,3792
01-01-2021,Nakhon Nayok ,30124
01-01-2021,Prachinburi ,38804
01-01-2021,Rayong ,35201
01-01-2021,Sa Kaeo ,16455
01-01-2021,Phuket ,35865
01-01-2021,Phatthalung ,25274
01-01-2021,Trang ,21035
01-01-2021,Ranong ,11199
01-01-2021,Chumphon ,22204
01-01-2021,Pattani ,7569
01-01-2021,Yala ,19750
01-01-2021,Nakhon Si Thammarat ,88909
01-01-2021,Narathiwat ,10144
01-01-2021,Krabi ,22440
01-01-2021,Songkhla ,76275
01-01-2021,Phang Nga ,15574
01-01-2021,Surat Thani ,39640
01-01-2021,Satun ,23393
01-01-2021,Kamphaeng Phet ,11298
01-01-2021,Chiang Rai ,85580
01-01-2021,Chiang Mai ,169056
01-01-2021,Phichit ,13398
01-01-2021,Nakhon Sawan ,32834
01-01-2021,Tak ,26915
01-01-2021,Phitsanulok ,65846
01-01-2021,Phayao ,9892
01-01-2021,Phetchabun ,52899
01-01-2021,Phrae ,7655
01-01-2021,Lampang ,18958
01-01-2021,Lamphun ,7492
01-01-2021,Mae Hong Son ,24832
01-01-2021,Uttaradit ,18221
01-01-2021,Uthai Thani ,10877
01-01-2021,Sukhothai ,20335
01-01-2021,Nan ,12457
01-01-2021,Kalasin ,9395
01-01-2021,Khon Kaen ,69648
01-01-2021,Chaiyaphum ,32747
01-01-2021,Nakhon Phanom ,17401
01-01-2021,Nakhon Ratchasima ,227743
01-01-2021,Buriram ,52498
01-01-2021,Maha Sarakham ,12533
01-01-2021,Mukdahan ,15899
01-01-2021,Roi Et ,24004
01-01-2021,Loei ,19730
01-01-2021,Sisaket ,18073
01-01-2021,Surin ,37407
01-01-2021,Nong Khai ,18767
01-01-2021,Bueng Kan ,9087
01-01-2021,Udon Thani ,45693
01-01-2021,Ubon Ratchathani ,65301
01-01-2021,Sakon Nakhon ,18650
01-01-2021,Yasothon ,10006
01-01-2021,Amnat Charoen ,5002
01-01-2021,Nong Bua Lamphu ,1547
01-01-2022,Bangkok,1009583
01-01-2022,Lopburi ,47079
01-09-2022,Phra Nakhon Si Ayutthaya ,62040
01-10-2022,Saraburi ,65575
01-01-2022,Chainat ,13936
01-01-2022,Nakhon Pathom ,64805
01-01-2022,Sing Buri ,11376
01-01-2022,Ang Thong ,5603
01-01-2022,Nonthaburi ,50944
01-01-2022,Pathum Thani ,23507
01-01-2022,Samut Prakan ,41974
01-01-2022,Samut Sakhon ,17876
01-01-2022,Chachoengsao ,21685
01-01-2022,Ratchaburi ,72252
01-01-2022,Kanchanaburi ,223019
01-01-2022,Samut Songkhram ,56358
01-01-2022,Suphan Buri ,52073
01-01-2022,Phetchaburi ,258163
01-01-2022,Prachuap Khiri Khan ,364053
01-01-2022,Chonburi ,644223
01-01-2022,Chanthaburi ,67164
01-01-2022,Trat ,93739
01-01-2022,Nakhon Nayok ,78747
01-01-2022,Prachinburi ,53910
01-01-2022,Rayong ,122400
01-01-2022,Sa Kaeo ,24962
01-01-2022,Phuket ,223405
01-01-2022,Phatthalung ,33169
01-01-2022,Trang ,46898
01-01-2022,Ranong ,27987
01-01-2022,Chumphon ,57247
01-01-2022,Pattani ,11945
01-01-2022,Yala ,47655
01-01-2022,Nakhon Si Thammarat ,87708
01-01-2022,Narathiwat ,14387
01-01-2022,Krabi ,106708
01-01-2022,Songkhla ,106962
01-01-2022,Phang Nga ,57525
01-01-2022,Surat Thani ,153446
01-01-2022,Satun ,65373
01-01-2022,Kamphaeng Phet ,31459
01-01-2022,Chiang Rai ,312079
01-01-2022,Chiang Mai ,467344
01-01-2022,Phichit ,23957
01-01-2022,Nakhon Sawan ,60620
01-01-2022,Tak ,89556
01-01-2022,Phitsanulok ,141208
01-01-2022,Phayao ,32699
01-01-2022,Phetchabun ,160971
01-01-2022,Phrae ,44751
01-01-2022,Lampang ,49467
01-01-2022,Lamphun ,19870
01-01-2022,Mae Hong Son ,96123
01-01-2022,Uttaradit ,37996
01-01-2022,Uthai Thani ,19617
01-01-2022,Sukhothai ,45089
01-01-2022,Nan ,77653
01-01-2022,Kalasin ,18956
01-01-2022,Khon Kaen ,140983
01-01-2022,Chaiyaphum ,54377
01-01-2022,Nakhon Phanom ,36671
01-01-2022,Nakhon Ratchasima ,303535
01-01-2022,Buriram ,113745
01-01-2022,Maha Sarakham ,12789
01-01-2022,Mukdahan ,30146
01-01-2022,Roi Et ,21171
01-01-2022,Loei ,78804
01-01-2022,Sisaket ,25586
01-01-2022,Surin ,48872
01-01-2022,Nong Khai ,65972
01-01-2022,Bueng Kan ,36733
01-01-2022,Udon Thani ,83266
01-01-2022,Ubon Ratchathani ,86656
01-01-2022,Sakon Nakhon ,33934
01-01-2022,Yasothon ,10368
01-01-2022,Amnat Charoen ,6918
01-01-2022,Nong Bua Lamphu ,5881
01-01-2023,Bangkok,2440463
01-01-2023,Kanchanaburi ,320803
01-01-2023,Nakhon Pathom ,73725
01-01-2023,Prachuap Khiri Khan ,536710
01-01-2023,Phetchaburi ,343526
01-01-2023,Ratchaburi ,98414
01-01-2023,Samut Prakan ,80571
01-01-2023,Samut Songkhram ,75514
01-01-2023,Samut Sakhon ,30143
01-01-2023,Chainat ,15723
01-01-2023,Nonthaburi ,80761
01-01-2023,Pathum Thani ,34221
01-01-2023,Phra Nakhon Si Ayutthaya ,87431
01-01-2023,Lopburi ,77379
01-01-2023,Saraburi ,84820
01-01-2023,Sing Buri ,14027
01-01-2023,Suphan Buri ,105273
01-01-2023,Ang Thong ,10762
01-01-2023,Chanthaburi ,91719
01-01-2023,Chachoengsao ,30736
01-01-2023,Chonburi ,1347044
01-01-2023,Trat ,140368
01-01-2023,Nakhon Nayok ,86714
01-01-2023,Prachinburi ,58964
01-01-2023,Rayong ,233839
01-01-2023,Sa Kaeo ,38260
01-01-2023,Krabi ,134344
01-01-2023,Chumphon ,92948
01-01-2023,Nakhon Si Thammarat ,158855
01-01-2023,Phang Nga ,65600
01-01-2023,Phuket ,681547
01-01-2023,Ranong ,37865
01-01-2023,Surat Thani ,332258
01-01-2023,Trang ,70089
01-01-2023,Narathiwat ,28320
01-01-2023,Pattani ,15118
01-01-2023,Phatthalung ,41586
01-01-2023,Yala ,81641
01-01-2023,Songkhla ,185930
01-01-2023,Satun ,76309
01-01-2023,Chiang Rai ,405508
01-01-2023,Chiang Mai ,724446
01-01-2023,Nan ,104721
01-01-2023,Phayao ,44578
01-01-2023,Phrae ,50638
01-01-2023,Mae Hong Son ,98309
01-01-2023,Lampang ,60876
01-01-2023,Lamphun ,24351
01-01-2023,Kamphaeng Phet ,31772
01-01-2023,Tak ,146624
01-01-2023,Nakhon Sawan ,86879
01-01-2023,Phichit ,33020
01-01-2023,Phitsanulok ,146196
01-01-2023,Phetchabun ,188195
01-01-2023,Sukhothai ,47124
01-01-2023,Uttaradit ,46951
01-01-2023,Uthai Thani ,28011
01-01-2023,Kalasin ,19979
01-01-2023,Khon Kaen ,164270
01-01-2023,Nakhon Phanom ,62425
01-01-2023,Bueng Kan ,32938
01-01-2023,Maha Sarakham ,27775
01-01-2023,Loei ,103572
01-01-2023,Sakon Nakhon ,56778
01-01-2023,Nong Khai ,81251
01-01-2023,Nong Bua Lamphu ,8286
01-01-2023,Udon Thani ,142271
01-01-2023,Chaiyaphum ,56333
01-01-2023,Nakhon Ratchasima ,396520
01-01-2023,Buriram ,144765
01-01-2023,Mukdahan ,42104
01-01-2023,Yasothon ,10527
01-01-2023,Roi Et ,45619
01-01-2023,Sisaket ,24872
01-01-2023,Surin ,75991
01-01-2023,Amnat Charoen ,6934
01-01-2023,Ubon Ratchathani ,87474
01-02-2019,Bangkok,3025538
01-02-2019,Lopburi ,49385
01-02-2019,Phra Nakhon Si Ayutthaya ,101718
01-02-2019,Saraburi ,77528
01-02-2019,Chainat ,25861
01-02-2019,Nakhon Pathom ,107577
01-02-2019,Sing Buri ,18434
01-02-2019,Ang Thong ,17409
01-02-2019,Nonthaburi ,88147
01-02-2019,Pathum Thani ,47402
01-02-2019,Samut Prakan ,102523
01-02-2019,Samut Sakhon ,57331
01-02-2019,Chachoengsao ,36670
01-02-2019,Ratchaburi ,65904
01-02-2019,Kanchanaburi ,315790
01-02-2019,Samut Songkhram ,60077
01-02-2019,Suphan Buri ,91004
01-02-2019,Phetchaburi ,358668
01-02-2019,Prachuap Khiri Khan ,345890
01-02-2019,Chonburi ,1271425
01-02-2019,Chanthaburi ,101232
01-02-2019,Trat ,198785
01-02-2019,Nakhon Nayok ,126643
01-02-2019,Prachinburi ,91717
01-02-2019,Rayong ,377905
01-02-2019,Sa Kaeo ,71344
01-02-2019,Phuket ,1370156
01-02-2019,Phatthalung ,67001
01-02-2019,Trang ,138665
01-02-2019,Ranong ,87811
01-02-2019,Chumphon ,90836
01-02-2019,Pattani ,18467
01-02-2019,Yala ,49200
01-02-2019,Nakhon Si Thammarat ,201458
01-02-2019,Narathiwat ,55708
01-02-2019,Krabi ,457421
01-02-2019,Songkhla ,379226
01-02-2019,Phang Nga ,116365
01-02-2019,Surat Thani ,468127
01-02-2019,Satun ,78130
01-02-2019,Kamphaeng Phet ,37426
01-02-2019,Chiang Rai ,336276
01-02-2019,Chiang Mai ,804684
01-02-2019,Phichit ,42406
01-02-2019,Nakhon Sawan ,111345
01-02-2019,Tak ,160346
01-02-2019,Phitsanulok ,177202
01-02-2019,Phayao ,26710
01-02-2019,Phetchabun ,168561
01-02-2019,Phrae ,30830
01-02-2019,Lampang ,55196
01-02-2019,Lamphun ,21764
01-02-2019,Mae Hong Son ,118024
01-02-2019,Uttaradit ,53634
01-02-2019,Uthai Thani ,29469
01-02-2019,Sukhothai ,73675
01-02-2019,Nan ,80087
01-02-2019,Kalasin ,19801
01-02-2019,Khon Kaen ,180982
01-02-2019,Chaiyaphum ,52842
01-02-2019,Nakhon Phanom ,46194
01-02-2019,Nakhon Ratchasima ,427535
01-02-2019,Buriram ,95097
01-02-2019,Maha Sarakham ,36786
01-02-2019,Mukdahan ,61872
01-02-2019,Roi Et ,38814
01-02-2019,Loei ,110112
01-02-2019,Sisaket ,39741
01-02-2019,Surin ,82398
01-02-2019,Nong Khai ,96539
01-02-2019,Bueng Kan ,29858
01-02-2019,Udon Thani ,186773
01-02-2019,Ubon Ratchathani ,118871
01-02-2019,Sakon Nakhon ,55937
01-02-2019,Yasothon ,14597
01-02-2019,Amnat Charoen ,8001
01-02-2019,Nong Bua Lamphu ,14116
01-02-2020,Bangkok,2388329
01-02-2020,Lopburi ,35051
01-02-2020,Phra Nakhon Si Ayutthaya ,70417
01-02-2020,Saraburi ,62116
01-02-2020,Chainat ,18283
01-02-2020,Nakhon Pathom ,96051
01-02-2020,Sing Buri ,12417
01-02-2020,Ang Thong ,13461
01-02-2020,Nonthaburi ,56271
01-02-2020,Pathum Thani ,38020
01-02-2020,Samut Prakan ,59573
01-02-2020,Samut Sakhon ,53604
01-02-2020,Chachoengsao ,26152
01-02-2020,Ratchaburi ,47897
01-02-2020,Kanchanaburi ,247674
01-02-2020,Samut Songkhram ,51832
01-02-2020,Suphan Buri ,69809
01-02-2020,Phetchaburi ,268846
01-02-2020,Prachuap Khiri Khan ,234637
01-02-2020,Chonburi ,583921
01-02-2020,Chanthaburi ,95216
01-02-2020,Trat ,136968
01-02-2020,Nakhon Nayok ,100645
01-02-2020,Prachinburi ,60975
01-02-2020,Rayong ,285075
01-02-2020,Sa Kaeo ,56015
01-02-2020,Phuket ,853419
01-02-2020,Phatthalung ,54688
01-02-2020,Trang ,108572
01-02-2020,Ranong ,77074
01-02-2020,Chumphon ,72786
01-02-2020,Pattani ,15457
01-02-2020,Yala ,26959
01-02-2020,Nakhon Si Thammarat ,153356
01-02-2020,Narathiwat ,44755
01-02-2020,Krabi ,333069
01-02-2020,Songkhla ,262792
01-02-2020,Phang Nga ,80645
01-02-2020,Surat Thani ,363612
01-02-2020,Satun ,62626
01-02-2020,Kamphaeng Phet ,34780
01-02-2020,Chiang Rai ,245632
01-02-2020,Chiang Mai ,559458
01-02-2020,Phichit ,38839
01-02-2020,Nakhon Sawan ,100752
01-02-2020,Tak ,147648
01-02-2020,Phitsanulok ,157604
01-02-2020,Phayao ,23868
01-02-2020,Phetchabun ,146577
01-02-2020,Phrae ,27037
01-02-2020,Lampang ,51479
01-02-2020,Lamphun ,18849
01-02-2020,Mae Hong Son ,90999
01-02-2020,Uttaradit ,48167
01-02-2020,Uthai Thani ,31556
01-02-2020,Sukhothai ,66541
01-02-2020,Nan ,73239
01-02-2020,Kalasin ,18427
01-02-2020,Khon Kaen ,167450
01-02-2020,Chaiyaphum ,40467
01-02-2020,Nakhon Phanom ,44580
01-02-2020,Nakhon Ratchasima ,404857
01-02-2020,Buriram ,83002
01-02-2020,Maha Sarakham ,27567
01-02-2020,Mukdahan ,55621
01-02-2020,Roi Et ,34261
01-02-2020,Loei ,95837
01-02-2020,Sisaket ,35864
01-02-2020,Surin ,70264
01-02-2020,Nong Khai ,87202
01-02-2020,Bueng Kan ,25036
01-02-2020,Udon Thani ,156229
01-02-2020,Ubon Ratchathani ,105265
01-02-2020,Sakon Nakhon ,51270
01-02-2020,Yasothon ,13159
01-02-2020,Amnat Charoen ,7510
01-02-2020,Nong Bua Lamphu ,11792
01-02-2021,Bangkok,484142
01-02-2021,Lopburi ,29999
01-02-2021,Phra Nakhon Si Ayutthaya ,42183
01-02-2021,Saraburi ,40942
01-02-2021,Chainat ,13303
01-02-2021,Nakhon Pathom ,50136
01-02-2021,Sing Buri ,6400
01-02-2021,Ang Thong ,4619
01-02-2021,Nonthaburi ,12609
01-02-2021,Pathum Thani ,12583
01-02-2021,Samut Prakan ,17372
01-02-2021,Samut Sakhon ,2190
01-02-2021,Chachoengsao ,7650
01-02-2021,Ratchaburi ,38928
01-02-2021,Kanchanaburi ,122167
01-02-2021,Samut Songkhram ,15673
01-02-2021,Suphan Buri ,29021
01-02-2021,Phetchaburi ,188659
01-02-2021,Prachuap Khiri Khan ,207590
01-02-2021,Chonburi ,49449
01-02-2021,Chanthaburi ,48190
01-02-2021,Trat ,55347
01-02-2021,Nakhon Nayok ,30376
01-02-2021,Prachinburi ,39290
01-02-2021,Rayong ,55721
01-02-2021,Sa Kaeo ,15230
01-02-2021,Phuket ,50502
01-02-2021,Phatthalung ,36080
01-02-2021,Trang ,34229
01-02-2021,Ranong ,16296
01-02-2021,Chumphon ,34230
01-02-2021,Pattani ,8917
01-02-2021,Yala ,36966
01-02-2021,Nakhon Si Thammarat ,114775
01-02-2021,Narathiwat ,17159
01-02-2021,Krabi ,27499
01-02-2021,Songkhla ,56131
01-02-2021,Phang Nga ,18116
01-02-2021,Surat Thani ,47902
01-02-2021,Satun ,41709
01-02-2021,Kamphaeng Phet ,12320
01-02-2021,Chiang Rai ,87672
01-02-2021,Chiang Mai ,208372
01-02-2021,Phichit ,18713
01-02-2021,Nakhon Sawan ,48845
01-02-2021,Tak ,31873
01-02-2021,Phitsanulok ,69183
01-02-2021,Phayao ,11179
01-02-2021,Phetchabun ,75011
01-02-2021,Phrae ,20153
01-02-2021,Lampang ,23272
01-02-2021,Lamphun ,11389
01-02-2021,Mae Hong Son ,38873
01-02-2021,Uttaradit ,26259
01-02-2021,Uthai Thani ,15503
01-02-2021,Sukhothai ,20845
01-02-2021,Nan ,36069
01-02-2021,Kalasin ,13760
01-02-2021,Khon Kaen ,82871
01-02-2021,Chaiyaphum ,37615
01-02-2021,Nakhon Phanom ,21941
01-02-2021,Nakhon Ratchasima ,286262
01-02-2021,Buriram ,59337
01-02-2021,Maha Sarakham ,16748
01-02-2021,Mukdahan ,26480
01-02-2021,Roi Et ,25065
01-02-2021,Loei ,40118
01-02-2021,Sisaket ,19463
01-02-2021,Surin ,46138
01-02-2021,Nong Khai ,38777
01-02-2021,Bueng Kan ,13484
01-02-2021,Udon Thani ,65395
01-02-2021,Ubon Ratchathani ,66768
01-02-2021,Sakon Nakhon ,35914
01-02-2021,Yasothon ,9811
01-02-2021,Amnat Charoen ,5283
01-02-2021,Nong Bua Lamphu ,2511
01-02-2022,Bangkok,1044609
01-02-2022,Lopburi ,58128
01-02-2022,Phra Nakhon Si Ayutthaya ,67617
01-02-2022,Saraburi ,64704
01-02-2022,Chainat ,14216
01-02-2022,Nakhon Pathom ,59051
01-02-2022,Sing Buri ,12825
01-02-2022,Ang Thong ,6080
01-02-2022,Nonthaburi ,45688
01-02-2022,Pathum Thani ,20294
01-02-2022,Samut Prakan ,47039
01-02-2022,Samut Sakhon ,16011
01-02-2022,Chachoengsao ,22855
01-02-2022,Ratchaburi ,68271
01-02-2022,Kanchanaburi ,211948
01-02-2022,Samut Songkhram ,53648
01-02-2022,Suphan Buri ,51048
01-02-2022,Phetchaburi ,278172
01-02-2022,Prachuap Khiri Khan ,373183
01-02-2022,Chonburi ,610252
01-02-2022,Chanthaburi ,76573
01-02-2022,Trat ,90813
01-02-2022,Nakhon Nayok ,73692
01-02-2022,Prachinburi ,49930
01-02-2022,Rayong ,116771
01-02-2022,Sa Kaeo ,30632
01-02-2022,Phuket ,214002
01-02-2022,Phatthalung ,18795
01-02-2022,Trang ,57927
01-02-2022,Ranong ,24745
01-02-2022,Chumphon ,60127
01-02-2022,Pattani ,13413
01-02-2022,Yala ,53238
01-02-2022,Nakhon Si Thammarat ,77861
01-02-2022,Narathiwat ,17895
01-02-2022,Krabi ,73468
01-02-2022,Songkhla ,85488
01-02-2022,Phang Nga ,41856
01-02-2022,Surat Thani ,166484
01-02-2022,Satun ,70478
01-02-2022,Kamphaeng Phet ,32186
01-02-2022,Chiang Rai ,333128
01-02-2022,Chiang Mai ,482851
01-02-2022,Phichit ,24669
01-02-2022,Nakhon Sawan ,61329
01-02-2022,Tak ,91902
01-02-2022,Phitsanulok ,114358
01-02-2022,Phayao ,36534
01-02-2022,Phetchabun ,154485
01-02-2022,Phrae ,39469
01-02-2022,Lampang ,39822
01-02-2022,Lamphun ,15047
01-02-2022,Mae Hong Son ,76310
01-02-2022,Uttaradit ,38125
01-02-2022,Uthai Thani ,20837
01-02-2022,Sukhothai ,36444
01-02-2022,Nan ,81108
01-02-2022,Kalasin ,17238
01-02-2022,Khon Kaen ,119071
01-02-2022,Chaiyaphum ,48096
01-02-2022,Nakhon Phanom ,38944
01-02-2022,Nakhon Ratchasima ,298018
01-02-2022,Buriram ,97166
01-02-2022,Maha Sarakham ,16781
01-02-2022,Mukdahan ,31768
01-02-2022,Roi Et ,19038
01-02-2022,Loei ,75563
01-02-2022,Sisaket ,27821
01-02-2022,Surin ,40668
01-02-2022,Nong Khai ,51510
01-02-2022,Bueng Kan ,31300
01-02-2022,Udon Thani ,95340
01-02-2022,Ubon Ratchathani ,69782
01-02-2022,Sakon Nakhon ,39216
01-02-2022,Yasothon ,8820
01-02-2022,Amnat Charoen ,5244
01-02-2022,Nong Bua Lamphu ,5953
01-02-2023,Bangkok,2427838
01-02-2023,Kanchanaburi ,298484
01-02-2023,Nakhon Pathom ,68431
01-02-2023,Prachuap Khiri Khan ,484460
01-02-2023,Phetchaburi ,319600
01-02-2023,Ratchaburi ,68884
01-02-2023,Samut Prakan ,73380
01-02-2023,Samut Songkhram ,59707
01-02-2023,Samut Sakhon ,26505
01-02-2023,Chainat ,17049
01-02-2023,Nonthaburi ,74541
01-02-2023,Pathum Thani ,33672
01-02-2023,Phra Nakhon Si Ayutthaya ,80566
01-02-2023,Lopburi ,43697
01-02-2023,Saraburi ,76562
01-02-2023,Sing Buri ,13242
01-02-2023,Suphan Buri ,88229
01-02-2023,Ang Thong ,13167
01-02-2023,Chanthaburi ,96711
01-02-2023,Chachoengsao ,28121
01-02-2023,Chonburi ,1195173
01-02-2023,Trat ,124282
01-02-2023,Nakhon Nayok ,84037
01-02-2023,Prachinburi ,55057
01-02-2023,Rayong ,228041
01-02-2023,Sa Kaeo ,36084
01-02-2023,Krabi ,152480
01-02-2023,Chumphon ,97457
01-02-2023,Nakhon Si Thammarat ,166307
01-02-2023,Phang Nga ,61794
01-02-2023,Phuket ,773321
01-02-2023,Ranong ,40081
01-02-2023,Surat Thani ,349766
01-02-2023,Trang ,73095
01-02-2023,Narathiwat ,30238
01-02-2023,Pattani ,16263
01-02-2023,Phatthalung ,39524
01-02-2023,Yala ,89915
01-02-2023,Songkhla ,176046
01-02-2023,Satun ,72416
01-02-2023,Chiang Rai ,332976
01-02-2023,Chiang Mai ,626720
01-02-2023,Nan ,118965
01-02-2023,Phayao ,45035
01-02-2023,Phrae ,47221
01-02-2023,Mae Hong Son ,91251
01-02-2023,Lampang ,52194
01-02-2023,Lamphun ,20293
01-02-2023,Kamphaeng Phet ,32941
01-02-2023,Tak ,137389
01-02-2023,Nakhon Sawan ,82503
01-02-2023,Phichit ,31708
01-02-2023,Phitsanulok ,131376
01-02-2023,Phetchabun ,191571
01-02-2023,Sukhothai ,46381
01-02-2023,Uttaradit ,46461
01-02-2023,Uthai Thani ,27584
