date,places ,value
01-02-2023,Kalasin ,25610
01-02-2023,Khon Kaen ,159207
01-02-2023,Nakhon Phanom ,65810
01-02-2023,Bueng Kan ,31029
01-02-2023,Maha Sarakham ,25011
01-02-2023,Loei ,100440
01-02-2023,Sakon Nakhon ,55532
01-02-2023,Nong Khai ,83983
01-02-2023,Nong Bua Lamphu ,7684
01-02-2023,Udon Thani ,129989
01-02-2023,Chaiyaphum ,53330
01-02-2023,Nakhon Ratchasima ,359110
01-02-2023,Buriram ,131056
01-02-2023,Mukdahan ,40096
01-02-2023,Yasothon ,10171
01-02-2023,Roi Et ,32125
01-02-2023,Sisaket ,21548
01-02-2023,Surin ,71567
01-02-2023,Amnat Charoen ,6589
01-02-2023,Ubon Ratchathani ,83749
01-03-2019,Bangkok,2887616
01-03-2019,Lopburi ,49165
01-03-2019,Phra Nakhon Si Ayutthaya ,107843
01-03-2019,Saraburi ,83226
01-03-2019,Chainat ,27089
01-03-2019,Nakhon Pathom ,110746
01-03-2019,Sing Buri ,19292
01-03-2019,Ang Thong ,18721
01-03-2019,Nonthaburi ,87512
01-03-2019,Pathum Thani ,50810
01-03-2019,Samut Prakan ,109200
01-03-2019,Samut Sakhon ,56681
01-03-2019,Chachoengsao ,38242
01-03-2019,Ratchaburi ,58254
01-03-2019,Kanchanaburi ,295348
01-03-2019,Samut Songkhram ,57907
01-03-2019,Suphan Buri ,92857
01-03-2019,Phetchaburi ,317757
01-03-2019,Prachuap Khiri Khan ,364411
01-03-2019,Chonburi ,1310969
01-03-2019,Chanthaburi ,120696
01-03-2019,Trat ,203275
01-03-2019,Nakhon Nayok ,137325
01-03-2019,Prachinburi ,92481
01-03-2019,Rayong ,389729
01-03-2019,Sa Kaeo ,73040
01-03-2019,Phuket ,1483133
01-03-2019,Phatthalung ,71762
01-03-2019,Trang ,134273
01-03-2019,Ranong ,94522
01-03-2019,Chumphon ,96986
01-03-2019,Pattani ,19957
01-03-2019,Yala ,46601
01-03-2019,Nakhon Si Thammarat ,221618
01-03-2019,Narathiwat ,58297
01-03-2019,Krabi ,418573
01-03-2019,Songkhla ,394974
01-03-2019,Phang Nga ,118568
01-03-2019,Surat Thani ,481231
01-03-2019,Satun ,92118
01-03-2019,Kamphaeng Phet ,40635
01-03-2019,Chiang Rai ,258746
01-03-2019,Chiang Mai ,683748
01-03-2019,Phichit ,43894
01-03-2019,Nakhon Sawan ,103725
01-03-2019,Tak ,156454
01-03-2019,Phitsanulok ,168752
01-03-2019,Phayao ,23848
01-03-2019,Phetchabun ,159094
01-03-2019,Phrae ,29944
01-03-2019,Lampang ,55552
01-03-2019,Lamphun ,23632
01-03-2019,Mae Hong Son ,85512
01-03-2019,Uttaradit ,59918
01-03-2019,Uthai Thani ,30117
01-03-2019,Sukhothai ,75864
01-03-2019,Nan ,76875
01-03-2019,Kalasin ,22860
01-03-2019,Khon Kaen ,226450
01-03-2019,Chaiyaphum ,57589
01-03-2019,Nakhon Phanom ,41726
01-03-2019,Nakhon Ratchasima ,436561
01-03-2019,Buriram ,111294
01-03-2019,Maha Sarakham ,40304
01-03-2019,Mukdahan ,65556
01-03-2019,Roi Et ,33357
01-03-2019,Loei ,104187
01-03-2019,Sisaket ,44457
01-03-2019,Surin ,92390
01-03-2019,Nong Khai ,96921
01-03-2019,Bueng Kan ,33727
01-03-2019,Udon Thani ,188534
01-03-2019,Ubon Ratchathani ,131115
01-03-2019,Sakon Nakhon ,58042
01-03-2019,Yasothon ,15786
01-03-2019,Amnat Charoen ,9658
01-03-2019,Nong Bua Lamphu ,13115
01-03-2020,Bangkok,601577
01-03-2020,Lopburi ,14581
01-03-2020,Phra Nakhon Si Ayutthaya ,29532
01-03-2020,Saraburi ,16991
01-03-2020,Chainat ,3363
01-03-2020,Nakhon Pathom ,32404
01-03-2020,Sing Buri ,4079
01-03-2020,Ang Thong ,2025
01-03-2020,Nonthaburi ,8526
01-03-2020,Pathum Thani ,5466
01-03-2020,Samut Prakan ,20017
01-03-2020,Samut Sakhon ,10745
01-03-2020,Chachoengsao ,5996
01-03-2020,Ratchaburi ,31770
01-03-2020,Kanchanaburi ,144292
01-03-2020,Samut Songkhram ,28963
01-03-2020,Suphan Buri ,42559
01-03-2020,Phetchaburi ,162949
01-03-2020,Prachuap Khiri Khan ,126196
01-03-2020,Chonburi ,395701
01-03-2020,Chanthaburi ,41984
01-03-2020,Trat ,77163
01-03-2020,Nakhon Nayok ,71912
01-03-2020,Prachinburi ,42395
01-03-2020,Rayong ,167636
01-03-2020,Sa Kaeo ,36480
01-03-2020,Phuket ,354012
01-03-2020,Phatthalung ,20396
01-03-2020,Trang ,40328
01-03-2020,Ranong ,24758
01-03-2020,Chumphon ,33032
01-03-2020,Pattani ,9582
01-03-2020,Yala ,22779
01-03-2020,Nakhon Si Thammarat ,76650
01-03-2020,Narathiwat ,20614
01-03-2020,Krabi ,112978
01-03-2020,Songkhla ,110982
01-03-2020,Phang Nga ,31591
01-03-2020,Surat Thani ,119803
01-03-2020,Satun ,23815
01-03-2020,Kamphaeng Phet ,19848
01-03-2020,Chiang Rai ,170335
01-03-2020,Chiang Mai ,355162
01-03-2020,Phichit ,17828
01-03-2020,Nakhon Sawan ,49958
01-03-2020,Tak ,93563
01-03-2020,Phitsanulok ,112834
01-03-2020,Phayao ,15090
01-03-2020,Phetchabun ,104893
01-03-2020,Phrae ,15969
01-03-2020,Lampang ,33368
01-03-2020,Lamphun ,12423
01-03-2020,Mae Hong Son ,34613
01-03-2020,Uttaradit ,18557
01-03-2020,Uthai Thani ,16303
01-03-2020,Sukhothai ,26484
01-03-2020,Nan ,38213
01-03-2020,Kalasin ,4112
01-03-2020,Khon Kaen ,60261
01-03-2020,Chaiyaphum ,12328
01-03-2020,Nakhon Phanom ,12044
01-03-2020,Nakhon Ratchasima ,133757
01-03-2020,Buriram ,15274
01-03-2020,Maha Sarakham ,6528
01-03-2020,Mukdahan ,16479
01-03-2020,Roi Et ,8418
01-03-2020,Loei ,14048
01-03-2020,Sisaket ,9395
01-03-2020,Surin ,19765
01-03-2020,Nong Khai ,16697
01-03-2020,Bueng Kan ,7461
01-03-2020,Udon Thani ,25455
01-03-2020,Ubon Ratchathani ,30248
01-03-2020,Sakon Nakhon ,14135
01-03-2020,Yasothon ,2712
01-03-2020,Amnat Charoen ,1295
01-03-2020,Nong Bua Lamphu ,1445
01-03-2021,Bangkok,553790
01-03-2021,Lopburi ,32420
01-03-2021,Phra Nakhon Si Ayutthaya ,46175
01-03-2021,Saraburi ,47434
01-03-2021,Chainat ,14756
01-03-2021,Nakhon Pathom ,55745
01-03-2021,Sing Buri ,7062
01-03-2021,Ang Thong ,6545
01-03-2021,Nonthaburi ,12079
01-03-2021,Pathum Thani ,11664
01-03-2021,Samut Prakan ,19098
01-03-2021,Samut Sakhon ,2849
01-03-2021,Chachoengsao ,8038
01-03-2021,Ratchaburi ,60452
01-03-2021,Kanchanaburi ,142877
01-03-2021,Samut Songkhram ,25970
01-03-2021,Suphan Buri ,52155
01-03-2021,Phetchaburi ,255248
01-03-2021,Prachuap Khiri Khan ,225579
01-03-2021,Chonburi ,89848
01-03-2021,Chanthaburi ,81769
01-03-2021,Trat ,75150
01-03-2021,Nakhon Nayok ,36042
01-03-2021,Prachinburi ,47379
01-03-2021,Rayong ,69973
01-03-2021,Sa Kaeo ,17874
01-03-2021,Phuket ,121412
01-03-2021,Phatthalung ,40596
01-03-2021,Trang ,41267
01-03-2021,Ranong ,26496
01-03-2021,Chumphon ,43938
01-03-2021,Pattani ,15666
01-03-2021,Yala ,56560
01-03-2021,Nakhon Si Thammarat ,133068
01-03-2021,Narathiwat ,18525
01-03-2021,Krabi ,45238
01-03-2021,Songkhla ,84367
01-03-2021,Phang Nga ,40255
01-03-2021,Surat Thani ,60906
01-03-2021,Satun ,61367
01-03-2021,Kamphaeng Phet ,20158
01-03-2021,Chiang Rai ,98200
01-03-2021,Chiang Mai ,215872
01-03-2021,Phichit ,21622
01-03-2021,Nakhon Sawan ,55399
01-03-2021,Tak ,40150
01-03-2021,Phitsanulok ,76306
01-03-2021,Phayao ,14072
01-03-2021,Phetchabun ,80139
01-03-2021,Phrae ,24816
01-03-2021,Lampang ,28564
01-03-2021,Lamphun ,13025
01-03-2021,Mae Hong Son ,16637
01-03-2021,Uttaradit ,28730
01-03-2021,Uthai Thani ,21291
01-03-2021,Sukhothai ,32264
01-03-2021,Nan ,47639
01-03-2021,Kalasin ,15424
01-03-2021,Khon Kaen ,111100
01-03-2021,Chaiyaphum ,47670
01-03-2021,Nakhon Phanom ,23724
01-03-2021,Nakhon Ratchasima ,295870
01-03-2021,Buriram ,90706
01-03-2021,Maha Sarakham ,20090
01-03-2021,Mukdahan ,23969
01-03-2021,Roi Et ,30798
01-03-2021,Loei ,46029
01-03-2021,Sisaket ,24290
01-03-2021,Surin ,51294
01-03-2021,Nong Khai ,54755
01-03-2021,Bueng Kan ,19342
01-03-2021,Udon Thani ,98916
01-03-2021,Ubon Ratchathani ,72780
01-03-2021,Sakon Nakhon ,37649
01-03-2021,Yasothon ,9889
01-03-2021,Amnat Charoen ,4762
01-03-2021,Nong Bua Lamphu ,6657
01-03-2022,Bangkok,1114806
01-03-2022,Lopburi ,58801
01-03-2022,Phra Nakhon Si Ayutthaya ,66003
01-03-2022,Saraburi ,65767
01-03-2022,Chainat ,15586
01-03-2022,Nakhon Pathom ,63587
01-03-2022,Sing Buri ,13273
01-03-2022,Ang Thong ,6882
01-03-2022,Nonthaburi ,47455
01-03-2022,Pathum Thani ,21242
01-03-2022,Samut Prakan ,44928
01-03-2022,Samut Sakhon ,17262
01-03-2022,Chachoengsao ,22017
01-03-2022,Ratchaburi ,63293
01-03-2022,Kanchanaburi ,222043
01-03-2022,Samut Songkhram ,52844
01-03-2022,Suphan Buri ,54027
01-03-2022,Phetchaburi ,303196
01-03-2022,Prachuap Khiri Khan ,383479
01-03-2022,Chonburi ,652090
01-03-2022,Chanthaburi ,76026
01-03-2022,Trat ,103941
01-03-2022,Nakhon Nayok ,68549
01-03-2022,Prachinburi ,48510
01-03-2022,Rayong ,126386
01-03-2022,Sa Kaeo ,30171
01-03-2022,Phuket ,230261
01-03-2022,Phatthalung ,19678
01-03-2022,Trang ,53553
01-03-2022,Ranong ,26635
01-03-2022,Chumphon ,64223
01-03-2022,Pattani ,12894
01-03-2022,Yala ,52196
01-03-2022,Nakhon Si Thammarat ,81685
01-03-2022,Narathiwat ,18717
01-03-2022,Krabi ,79523
01-03-2022,Songkhla ,88983
01-03-2022,Phang Nga ,43165
01-03-2022,Surat Thani ,186835
01-03-2022,Satun ,74815
01-03-2022,Kamphaeng Phet ,30762
01-03-2022,Chiang Rai ,293186
01-03-2022,Chiang Mai ,415914
01-03-2022,Phichit ,25635
01-03-2022,Nakhon Sawan ,66219
01-03-2022,Tak ,88524
01-03-2022,Phitsanulok ,108434
01-03-2022,Phayao ,34282
01-03-2022,Phetchabun ,128621
01-03-2022,Phrae ,35031
01-03-2022,Lampang ,38027
01-03-2022,Lamphun ,14705
01-03-2022,Mae Hong Son ,70163
01-03-2022,Uttaradit ,35810
01-03-2022,Uthai Thani ,23690
01-03-2022,Sukhothai ,38185
01-03-2022,Nan ,77918
01-03-2022,Kalasin ,17855
01-03-2022,Khon Kaen ,125832
01-03-2022,Chaiyaphum ,51656
01-03-2022,Nakhon Phanom ,41813
01-03-2022,Nakhon Ratchasima ,286543
01-03-2022,Buriram ,104670
01-03-2022,Maha Sarakham ,18456
01-03-2022,Mukdahan ,34108
01-03-2022,Roi Et ,20356
01-03-2022,Loei ,75636
01-03-2022,Sisaket ,30936
01-03-2022,Surin ,45984
01-03-2022,Nong Khai ,56387
01-03-2022,Bueng Kan ,28646
01-03-2022,Udon Thani ,91327
01-03-2022,Ubon Ratchathani ,75508
01-03-2022,Sakon Nakhon ,40723
01-03-2022,Yasothon ,9403
01-03-2022,Amnat Charoen ,4884
01-03-2022,Nong Bua Lamphu ,6075
01-04-2019,Bangkok,3239883
01-04-2019,Lopburi ,46665
01-04-2019,Phra Nakhon Si Ayutthaya ,91330
01-04-2019,Saraburi ,68198
01-04-2019,Chainat ,26723
01-04-2019,Nakhon Pathom ,112319
01-04-2019,Sing Buri ,17297
01-04-2019,Ang Thong ,18524
01-04-2019,Nonthaburi ,85135
01-04-2019,Pathum Thani ,43468
01-04-2019,Samut Prakan ,100981
01-04-2019,Samut Sakhon ,62191
01-04-2019,Chachoengsao ,43541
01-04-2019,Ratchaburi ,84769
01-04-2019,Kanchanaburi ,258308
01-04-2019,Samut Songkhram ,53884
01-04-2019,Suphan Buri ,90379
01-04-2019,Phetchaburi ,334555
01-04-2019,Prachuap Khiri Khan ,367631
01-04-2019,Chonburi ,1435954
01-04-2019,Chanthaburi ,159693
01-04-2019,Trat ,188320
01-04-2019,Nakhon Nayok ,146607
01-04-2019,Prachinburi ,99003
01-04-2019,Rayong ,461325
01-04-2019,Sa Kaeo ,68332
01-04-2019,Phuket ,1153120
01-04-2019,Phatthalung ,74472
01-04-2019,Trang ,112250
01-04-2019,Ranong ,68765
01-04-2019,Chumphon ,117864
01-04-2019,Pattani ,26659
01-04-2019,Yala ,59371
01-04-2019,Nakhon Si Thammarat ,250183
01-04-2019,Narathiwat ,65250
01-04-2019,Krabi ,387910
01-04-2019,Songkhla ,526794
01-04-2019,Phang Nga ,91504
01-04-2019,Surat Thani ,443024
01-04-2019,Satun ,74855
01-04-2019,Kamphaeng Phet ,35532
01-04-2019,Chiang Rai ,226714
01-04-2019,Chiang Mai ,668337
01-04-2019,Phichit ,30320
01-04-2019,Nakhon Sawan ,80993
01-04-2019,Tak ,157460
01-04-2019,Phitsanulok ,159682
01-04-2019,Phayao ,20183
01-04-2019,Phetchabun ,155278
01-04-2019,Phrae ,25665
01-04-2019,Lampang ,53293
01-04-2019,Lamphun ,22924
01-04-2019,Mae Hong Son ,61280
01-04-2019,Uttaradit ,55792
01-04-2019,Uthai Thani ,31408
01-04-2019,Sukhothai ,78237
01-04-2019,Nan ,56484
01-04-2019,Kalasin ,21592
01-04-2019,Khon Kaen ,215573
01-04-2019,Chaiyaphum ,65709
01-04-2019,Nakhon Phanom ,38295
01-04-2019,Nakhon Ratchasima ,452672
01-04-2019,Buriram ,103025
01-04-2019,Maha Sarakham ,37853
01-04-2019,Mukdahan ,54188
01-04-2019,Roi Et ,36734
01-04-2019,Loei ,101975
01-04-2019,Sisaket ,27120
01-04-2019,Surin ,76572
01-04-2019,Nong Khai ,91186
01-04-2019,Bueng Kan ,22547
01-04-2019,Udon Thani ,188488
01-04-2019,Ubon Ratchathani ,117663
01-04-2019,Sakon Nakhon ,66677
01-04-2019,Yasothon ,16258
01-04-2019,Amnat Charoen ,7762
01-04-2019,Nong Bua Lamphu ,10580
01-04-2020,Bangkok,252452
01-04-2020,Lopburi ,40
01-04-2020,Phra Nakhon Si Ayutthaya ,18
01-04-2020,Saraburi ,416
01-04-2020,Chainat ,0
01-04-2020,Nakhon Pathom ,637
01-04-2020,Sing Buri ,81
01-04-2020,Ang Thong ,0
01-04-2020,Nonthaburi ,0
01-04-2020,Pathum Thani ,163
01-04-2020,Samut Prakan ,0
01-04-2020,Samut Sakhon ,289
01-04-2020,Chachoengsao ,0
01-04-2020,Ratchaburi ,1726
01-04-2020,Kanchanaburi ,0
01-04-2020,Samut Songkhram ,8
01-04-2020,Suphan Buri ,0
01-04-2020,Phetchaburi ,109
01-04-2020,Prachuap Khiri Khan ,419
01-04-2020,Chonburi ,10275
01-04-2020,Chanthaburi ,0
01-04-2020,Trat ,592
01-04-2020,Nakhon Nayok ,0
01-04-2020,Prachinburi ,20
01-04-2020,Rayong ,0
01-04-2020,Sa Kaeo ,0
01-04-2020,Phuket ,4281
01-04-2020,Phatthalung ,154
01-04-2020,Trang ,252
01-04-2020,Ranong ,316
01-04-2020,Chumphon ,74
01-04-2020,Pattani ,35
01-04-2020,Yala ,56
01-04-2020,Nakhon Si Thammarat ,152
01-04-2020,Narathiwat ,25
01-04-2020,Krabi ,391
01-04-2020,Songkhla ,528
01-04-2020,Phang Nga ,1479
01-04-2020,Surat Thani ,10741
01-04-2020,Satun ,84
01-04-2020,Kamphaeng Phet ,589
01-04-2020,Chiang Rai ,2113
01-04-2020,Chiang Mai ,3523
01-04-2020,Phichit ,17
01-04-2020,Nakhon Sawan ,1893
01-04-2020,Tak ,2156
01-04-2020,Phitsanulok ,2084
01-04-2020,Phayao ,10
01-04-2020,Phetchabun ,6
01-04-2020,Phrae ,328
01-04-2020,Lampang ,1493
01-04-2020,Lamphun ,408
01-04-2020,Mae Hong Son ,1162
01-04-2020,Uttaradit ,873
01-04-2020,Uthai Thani ,0
01-04-2020,Sukhothai ,369
01-04-2020,Nan ,0
01-04-2020,Kalasin ,38
01-04-2020,Khon Kaen ,245
01-04-2020,Chaiyaphum ,67
01-04-2020,Nakhon Phanom ,143
01-04-2020,Nakhon Ratchasima ,280
01-04-2020,Buriram ,117
01-04-2020,Maha Sarakham ,0
01-04-2020,Mukdahan ,114
01-04-2020,Roi Et ,26
01-04-2020,Loei ,0
01-04-2020,Sisaket ,40
01-04-2020,Surin ,0
01-04-2020,Nong Khai ,36
01-04-2020,Bueng Kan ,0
01-04-2020,Udon Thani ,0
01-04-2020,Ubon Ratchathani ,98
01-04-2020,Sakon Nakhon ,70
01-04-2020,Yasothon ,0
01-04-2020,Amnat Charoen ,11
01-04-2020,Nong Bua Lamphu ,0
01-04-2021,Bangkok,365605
01-04-2021,Lopburi ,11244
01-04-2021,Phra Nakhon Si Ayutthaya ,23043
01-04-2021,Saraburi ,26737
01-04-2021,Chainat ,5856
01-04-2021,Nakhon Pathom ,25328
01-04-2021,Sing Buri ,2858
01-04-2021,Ang Thong ,3358
01-04-2021,Nonthaburi ,5158
01-04-2021,Pathum Thani ,5251
01-04-2021,Samut Prakan ,6824
01-04-2021,Samut Sakhon ,2182
01-04-2021,Chachoengsao ,3693
01-04-2021,Ratchaburi ,22266
01-04-2021,Kanchanaburi ,82703
01-04-2021,Samut Songkhram ,19762
01-04-2021,Suphan Buri ,16690
01-04-2021,Phetchaburi ,166685
01-04-2021,Prachuap Khiri Khan ,186276
01-04-2021,Chonburi ,84428
01-04-2021,Chanthaburi ,87520
01-04-2021,Trat ,116677
01-04-2021,Nakhon Nayok ,35350
01-04-2021,Prachinburi ,35050
01-04-2021,Rayong ,70386
01-04-2021,Sa Kaeo ,8829
01-04-2021,Phuket ,147051
01-04-2021,Phatthalung ,16809
01-04-2021,Trang ,31449
01-04-2021,Ranong ,41678
01-04-2021,Chumphon ,47162
01-04-2021,Pattani ,9628
01-04-2021,Yala ,25310
01-04-2021,Nakhon Si Thammarat ,73990
01-04-2021,Narathiwat ,10819
01-04-2021,Krabi ,73038
01-04-2021,Songkhla ,45818
01-04-2021,Phang Nga ,43419
01-04-2021,Surat Thani ,47781
01-04-2021,Satun ,36470
01-04-2021,Kamphaeng Phet ,5925
01-04-2021,Chiang Rai ,56829
01-04-2021,Chiang Mai ,98238
01-04-2021,Phichit ,6953
01-04-2021,Nakhon Sawan ,19825
01-04-2021,Tak ,29862
01-04-2021,Phitsanulok ,62527
01-04-2021,Phayao ,7810
01-04-2021,Phetchabun ,59892
01-04-2021,Phrae ,9646
01-04-2021,Lampang ,12076
01-04-2021,Lamphun ,4092
01-04-2021,Mae Hong Son ,7603
01-04-2021,Uttaradit ,14132
01-04-2021,Uthai Thani ,4869
01-04-2021,Sukhothai ,14489
01-04-2021,Nan ,13549
01-04-2021,Kalasin ,4172
01-04-2021,Khon Kaen ,31782
01-04-2021,Chaiyaphum ,26881
01-04-2021,Nakhon Phanom ,9678
01-04-2021,Nakhon Ratchasima ,192003
01-04-2021,Buriram ,17364
01-04-2021,Maha Sarakham ,6509
01-04-2021,Mukdahan ,7922
01-04-2021,Roi Et ,7673
01-04-2021,Loei ,11290
01-04-2021,Sisaket ,5576
01-04-2021,Surin ,18230
01-04-2021,Nong Khai ,8934
01-04-2021,Bueng Kan ,2157
01-04-2021,Udon Thani ,16592
01-04-2021,Ubon Ratchathani ,54768
01-04-2021,Sakon Nakhon ,16069
01-04-2021,Yasothon ,8228
01-04-2021,Amnat Charoen ,2653
01-04-2021,Nong Bua Lamphu ,1686
01-04-2022,Bangkok,1188983
01-04-2022,Lopburi ,63311
01-04-2022,Phra Nakhon Si Ayutthaya ,72343
01-04-2022,Saraburi ,72870
01-04-2022,Chainat ,16146
01-04-2022,Nakhon Pathom ,66896
01-04-2022,Sing Buri ,14007
01-04-2022,Ang Thong ,7288
01-04-2022,Nonthaburi ,49921
01-04-2022,Pathum Thani ,22620
01-04-2022,Samut Prakan ,47242
01-04-2022,Samut Sakhon ,18017
01-04-2022,Chachoengsao ,23766
01-04-2022,Ratchaburi ,71668
01-04-2022,Kanchanaburi ,235975
01-04-2022,Samut Songkhram ,59193
01-04-2022,Suphan Buri ,60804
01-04-2022,Phetchaburi ,313166
01-04-2022,Prachuap Khiri Khan ,402368
01-04-2022,Chonburi ,687744
01-04-2022,Chanthaburi ,81657
01-04-2022,Trat ,109675
01-04-2022,Nakhon Nayok ,72944
01-04-2022,Prachinburi ,51442
01-04-2022,Rayong ,144927
01-04-2022,Sa Kaeo ,33186
01-04-2022,Phuket ,245225
01-04-2022,Phatthalung ,21770
01-04-2022,Trang ,60693
01-04-2022,Ranong ,28923
01-04-2022,Chumphon ,70243
01-04-2022,Pattani ,12477
01-04-2022,Yala ,54685
01-04-2022,Nakhon Si Thammarat ,90224
01-04-2022,Narathiwat ,17911
01-04-2022,Krabi ,87664
01-04-2022,Songkhla ,96095
01-04-2022,Phang Nga ,48572
01-04-2022,Surat Thani ,215562
01-04-2022,Satun ,79048
01-04-2022,Kamphaeng Phet ,28955
01-04-2022,Chiang Rai ,284500
01-04-2022,Chiang Mai ,439564
01-04-2022,Phichit ,27993
01-04-2022,Nakhon Sawan ,68175
01-04-2022,Tak ,90123
01-04-2022,Phitsanulok ,105237
01-04-2022,Phayao ,35527
01-04-2022,Phetchabun ,113958
01-04-2022,Phrae ,37883
01-04-2022,Lampang ,41533
01-04-2022,Lamphun ,16631
01-04-2022,Mae Hong Son ,56273
01-04-2022,Uttaradit ,32904
01-04-2022,Uthai Thani ,22326
01-04-2022,Sukhothai ,36168
01-04-2022,Nan ,73923
01-04-2022,Kalasin ,18917
01-04-2022,Khon Kaen ,131936
01-04-2022,Chaiyaphum ,55357
01-04-2022,Nakhon Phanom ,44412
01-04-2022,Nakhon Ratchasima ,310218
01-04-2022,Buriram ,111676
01-04-2022,Maha Sarakham ,26861
01-04-2022,Mukdahan ,35538
01-04-2022,Roi Et ,21801
01-04-2022,Loei ,80905
01-04-2022,Sisaket ,25824
01-04-2022,Surin ,49128
01-04-2022,Nong Khai ,59097
01-04-2022,Bueng Kan ,30086
01-04-2022,Udon Thani ,97916
01-04-2022,Ubon Ratchathani ,77886
01-04-2022,Sakon Nakhon ,42738
01-04-2022,Yasothon ,9954
01-04-2022,Amnat Charoen ,5405
01-04-2022,Nong Bua Lamphu ,6858
01-05-2019,Bangkok,2955553
01-05-2019,Lopburi ,47641
01-05-2019,Phra Nakhon Si Ayutthaya ,87841
01-05-2019,Saraburi ,68576
01-05-2019,Chainat ,24902
01-05-2019,Nakhon Pathom ,116631
01-05-2019,Sing Buri ,15365
01-05-2019,Ang Thong ,20667
01-05-2019,Nonthaburi ,83987
01-05-2019,Pathum Thani ,45058
01-05-2019,Samut Prakan ,93920
01-05-2019,Samut Sakhon ,63594
01-05-2019,Chachoengsao ,45558
01-05-2019,Ratchaburi ,67137
01-05-2019,Kanchanaburi ,251166
01-05-2019,Samut Songkhram ,51663
01-05-2019,Suphan Buri ,77143
01-05-2019,Phetchaburi ,307891
01-05-2019,Prachuap Khiri Khan ,335222
01-05-2019,Chonburi ,1408665
01-05-2019,Chanthaburi ,153920
01-05-2019,Trat ,181493
01-05-2019,Nakhon Nayok ,149872
01-05-2019,Prachinburi ,99016
01-05-2019,Rayong ,443647
01-05-2019,Sa Kaeo ,64045
01-05-2019,Phuket ,839220
01-05-2019,Phatthalung ,77579
01-05-2019,Trang ,91843
01-05-2019,Ranong ,56011
01-05-2019,Chumphon ,113917
01-05-2019,Pattani ,25054
01-05-2019,Yala ,55322
01-05-2019,Nakhon Si Thammarat ,250839
01-05-2019,Narathiwat ,59793
01-05-2019,Krabi ,331406
01-05-2019,Songkhla ,425660
01-05-2019,Phang Nga ,79288
01-05-2019,Surat Thani ,394486
01-05-2019,Satun ,70882
01-05-2019,Kamphaeng Phet ,31795
01-05-2019,Chiang Rai ,225609
01-05-2019,Chiang Mai ,663597
01-05-2019,Phichit ,29401
01-05-2019,Nakhon Sawan ,76571
01-05-2019,Tak ,142153
01-05-2019,Phitsanulok ,142716
01-05-2019,Phayao ,17607
01-05-2019,Phetchabun ,145400
01-05-2019,Phrae ,24092
01-05-2019,Lampang ,48317
01-05-2019,Lamphun ,21025
01-05-2019,Mae Hong Son ,58747
01-05-2019,Uttaradit ,52687
01-05-2019,Uthai Thani ,25958
01-05-2019,Sukhothai ,72204
01-05-2019,Nan ,56523
01-05-2019,Kalasin ,23646
01-05-2019,Khon Kaen ,183914
01-05-2019,Chaiyaphum ,73253
01-05-2019,Nakhon Phanom ,35555
01-05-2019,Nakhon Ratchasima ,448391
01-05-2019,Buriram ,93781
01-05-2019,Maha Sarakham ,36200
01-05-2019,Mukdahan ,53983
01-05-2019,Roi Et ,34001
01-05-2019,Loei ,92249
01-05-2019,Sisaket ,26597
01-05-2019,Surin ,75190
01-05-2019,Nong Khai ,95987
01-05-2019,Bueng Kan ,21618
01-05-2019,Udon Thani ,188311
01-05-2019,Ubon Ratchathani ,111533
01-05-2019,Sakon Nakhon ,73166
01-05-2019,Yasothon ,17536
01-05-2019,Amnat Charoen ,7296
01-05-2019,Nong Bua Lamphu ,10113
01-05-2020,Bangkok,424761
01-05-2020,Lopburi ,538
01-05-2020,Phra Nakhon Si Ayutthaya ,1269
01-05-2020,Saraburi ,1053
01-05-2020,Chainat ,531
01-05-2020,Nakhon Pathom ,1870
01-05-2020,Sing Buri ,914
01-05-2020,Ang Thong ,520
01-05-2020,Nonthaburi ,1277
01-05-2020,Pathum Thani ,976
01-05-2020,Samut Prakan ,0
01-05-2020,Samut Sakhon ,939
01-05-2020,Chachoengsao ,496
01-05-2020,Ratchaburi ,4086
01-05-2020,Kanchanaburi ,24727
01-05-2020,Samut Songkhram ,2212
01-05-2020,Suphan Buri ,1157
01-05-2020,Phetchaburi ,1645
01-05-2020,Prachuap Khiri Khan ,3572
01-05-2020,Chonburi ,14860
01-05-2020,Chanthaburi ,0
01-05-2020,Trat ,293
01-05-2020,Nakhon Nayok ,2663
01-05-2020,Prachinburi ,1295
01-05-2020,Rayong ,4885
01-05-2020,Sa Kaeo ,0
01-05-2020,Phuket ,3621
01-05-2020,Phatthalung ,119
01-05-2020,Trang ,93
01-05-2020,Ranong ,231
01-05-2020,Chumphon ,249
01-05-2020,Pattani ,316
01-05-2020,Yala ,366
01-05-2020,Nakhon Si Thammarat ,101
01-05-2020,Narathiwat ,115
01-05-2020,Krabi ,195
01-05-2020,Songkhla ,528
01-05-2020,Phang Nga ,1133
01-05-2020,Surat Thani ,8239
01-05-2020,Satun ,84
01-05-2020,Kamphaeng Phet ,1924
01-05-2020,Chiang Rai ,10929
01-05-2020,Chiang Mai ,16125
01-05-2020,Phichit ,1867
01-05-2020,Nakhon Sawan ,6877
01-05-2020,Tak ,5214
01-05-2020,Phitsanulok ,9502
01-05-2020,Phayao ,2335
01-05-2020,Phetchabun ,5739
01-05-2020,Phrae ,2968
01-05-2020,Lampang ,3720
01-05-2020,Lamphun ,2633
01-05-2020,Mae Hong Son ,629
